date,USD
20190227,4.0655
20190228,4.0705
20190103,4.073
20190403,4.072
20190503,4.077
20190603,4.0895
20190703,4.087
20190803,4.0925
20191103,4.0875
20191203,4.0815
20190313,4.09
20190314,4.0895
20190315,4.0905
20190318,4.0825
20190319,4.0745
20190320,4.077
20190321,4.0605
20190322,4.0605
20190325,4.072
20190326,4.0675
20190327,4.0775
20190328,4.077
20190329,4.081
20190104,4.076
20190204,4.0835
20190304,4.0805
20190404,4.0795
20190504,4.082
20190804,4.094
20190904,4.097
20191004,4.0975
20191104,4.1175
20191204,4.12
20190415,4.113
20190416,4.1155
20190417,4.1435
20190418,4.145
20190419,4.1325
20190422,4.1365
20190423,4.1265
20190424,4.1325
20190425,4.1355
20190426,4.133
20190429,4.1325
20190430,4.1355
20190205,4.1365
20190305,4.1415
20190605,4.1485
20190705,4.1475
20190805,4.1465
20190905,4.152
20191005,4.1555
20190513,4.1625
20190514,4.1705
20190515,4.1735
20190516,4.171
20190517,4.1735
20190521,4.1845
20190523,4.193
20190524,4.1925
20190527,4.1865
20190528,4.1925
20190529,4.1955
20190530,4.1965
20190531,4.197
20190306,4.1805
20190406,4.177
20190706,4.1585
20191006,4.1635
20191106,4.1645
20191206,4.164
20190613,4.1625
20190614,4.1685
20190617,4.1755
20190618,4.1815
20190619,4.1765
20190620,4.1565
20190621,4.15
20190624,4.1445
20190625,4.1435
20190626,4.1525
20190627,4.149
20190628,4.142
20190107,4.1335
20190207,4.142
20190307,4.1405
20190407,4.1325
20190507,4.1355
20190807,4.1435
20190907,4.1425
20191007,4.1405
20191107,4.1225
20191207,4.112
20190715,4.1065
20190716,4.1085
20190717,4.1155
20190718,4.1125
20190719,4.1095
20190722,4.1145
20190723,4.1185
20190724,4.121
20190725,4.1185
20190726,4.12
20190729,4.12
20190731,4.1275
20190108,4.1445
20190208,4.154
20190508,4.1755
20190608,4.1905
20190708,4.196
20190808,4.1825
20190908,4.1875
20190813,4.193
20190814,4.1865
20190815,4.1935
20190816,4.183
20190819,4.168
20190820,4.1815
20190821,4.1735
20190822,4.1805
20190823,4.19
20190826,4.205
20190827,4.2075
20190828,4.2105
20190829,4.225
20190830,4.222
20190309,4.225
20190409,4.2125
20190509,4.193
20190609,4.177
20191009,4.171
20191109,4.1805
20191209,4.173
20190913,4.1645
20190917,4.1795
20190918,4.185
20190919,4.198
20190920,4.1795
20190923,4.1625
20190924,4.1775
20190925,4.185
20190926,4.1935
20190927,4.1945
20190930,4.187
20190110,4.192
20190210,4.19
20190310,4.189
20190410,4.184
20190710,4.193
20190810,4.191
20190910,4.1978
20191010,4.193
20191110,4.1855
20191014,4.1795
20191015,4.189
20191016,4.1935
20191017,4.1885
20191018,4.188
20191021,4.185
20191022,4.1845
20191023,4.194
20191024,4.184
20191025,4.188
20191029,4.1815
20191030,4.1845
20191031,4.1775
20190111,4.172
20190411,4.1525
20190511,4.1515
20190611,4.136
20190711,4.146
20190811,4.1335
20191111,4.1415
20191211,4.144
20191113,4.153
20191114,4.1585
20191115,4.1495
20191118,4.154
20191119,4.161
20191120,4.159
20191121,4.1735
20191122,4.168
20191125,4.1765
20191126,4.1805
20191127,4.1825
20191128,4.174
20191129,4.1713
20190212,4.1795
20190312,4.173
20190412,4.1815
20190512,4.173
20190612,4.1625
20190912,4.1635
20191012,4.161
20191112,4.163
20191212,4.1545
20191213,4.1415
20191216,4.14
20191217,4.1415
20191218,4.1435
20191219,4.1405
20191220,4.1405
20191223,4.1445
20191224,4.1425
20191226,4.1355
20191227,4.1315
20191230,4.1135
20191231,4.0925
20200201,4.0865
20200301,4.0995
20200601,4.108
20200701,4.0955
20200801,4.104
20200901,4.0913
20201001,4.083
20200113,4.0645
20200114,4.0615
20200115,4.079
20200116,4.0685
20200117,4.0625
20200120,4.0575
20200121,4.069
20200122,4.0735
20200123,4.0655
20200124,4.0645
20200128,4.0835
20200129,4.0785
20200130,4.0885
20200131,4.0885
20200302,4.1155
20200402,4.117
20200502,4.121
20200602,4.1215
20200702,4.135
20201002,4.1455
20201102,4.1405
20201202,4.134
20200213,4.139
20200214,4.141
20200217,4.138
20200218,4.1495
20200219,4.1595
20200220,4.1845
20200221,4.1915
20200224,4.2215
20200225,4.225
20200226,4.2395
20200227,4.2225
20200228,4.226
20200203,4.2015
20200303,4.205
20200403,4.183
20200503,4.1655
20200603,4.1875
20200903,4.2085
20201003,4.226
20201103,4.2355
20201203,4.253
20200313,4.295
20200316,4.301
20200317,4.33
20200318,4.358
20200319,4.4065
20200320,4.4045
20200323,4.445
20200324,4.435
20200325,4.394
20200326,4.3625
20200327,4.263
20200330,4.3575
20200331,4.3025
20200104,4.3275
20200204,4.386
20200304,4.36
20200604,4.375
20200704,4.35
20200804,4.3398
20200904,4.341
20201004,4.308
20200413,4.3225
20200414,4.323
20200415,4.33
20200416,4.374
20200417,4.365
20200420,4.388
20200421,4.3923
20200422,4.395
20200423,4.365
20200424,4.365
20200427,4.354
20200428,4.3705
20200429,4.36
20200430,4.326
20200405,4.3385
20200505,4.31
20200605,4.311
